level_0,index,News,clean_news
65690,65777, 'Essentials home delivered,'essentials home delivered
11202,11228," ""'Tanhaji: The Unsung Warrior' actor Ajay Devgn shares the 18-year challenge picture on his social media!""","""'tanhaji: the unsung warrior' actor ajay devgn shares the 18-year challenge picture his social media!"""
125810,125929, 'FIR registered against 3 for forging documents,'fir registered against for forging documents
43411,43479, claim MP Cong MLAs in Jaipur,claim cong mlas jaipur
10863,10889," painkillers""","painkillers"""
27338,27386, 'Nashik: Asaram’s ‘followers’ give lecture in civic school,'nashik: asaram’s ‘followers’ give lecture civic school
160575,160715, 'Temple priest robbed of cash,'temple priest robbed cash
67167,67255, 'Startup makes portable UV sterilizer to fight Covid-19,'startup makes portable sterilizer fight covid-19
69572,69660, 'Govt staff in Jalna denied travel passes for red zones,'govt staff jalna denied travel passes for red zones
30580,30631, 'Meerut: Delhi gangster shot dead in encounter,'meerut: delhi gangster shot dead encounter
127946,128065, 'Question marks over PWD’s MLA Hostel tenders,'question marks over pwd’s mla hostel tenders
79168,79263, Bengal told,bengal told
202663,202835, 'Mask-less clicked,'mask-less clicked
215395,215578, 'Pune: Architecture students float conservation ideas,'pune: architecture students float conservation ideas
8134,8157, 'Kolkata: Presidency student alleges harassment by professor,'kolkata: presidency student alleges harassment professor
148069,148200, 'Amitabh Bachchan shares he has nothing to post on Instagram,'amitabh bachchan shares has nothing post instagram
171501,171649, 'Ahmedabad’s unsung hero of landmarks,'ahmedabad’s unsung hero landmarks
180682,180835, 'Gujarat: Only virtual darshan at Pavagadh on first day of Navratri,'gujarat: only virtual darshan pavagadh first day navratri
62447,62533, '250 army medical corps veterans join Covid-19 fight,'250 army medical corps veterans join covid-19 fight
40092,40158, Amit Shah and Muslim religious leaders,amit shah and muslim religious leaders
213759,213941, its Houses can seat 150% more MPs,its houses can seat 150% more mps
181837,181990, '54-yr-old man killed over suspicion of phone theft,'54-yr-old man killed over suspicion phone theft
172413,172562, 'Thousands of antiques to be discarded from Albert Hall in Jaipur,'thousands antiques discarded from albert hall jaipur
200248,200419, 'Tamil Nadu: DMK high-level panel will discuss getting cadres fired up for polls,'tamil nadu: dmk high-level panel will discuss getting cadres fired for polls
160647,160787, 'Women who engineered a pioneering path,'women who engineered pioneering path
88972,89073, RBI slashes key rate 40 basis points to new all-time low,rbi slashes key rate basis points new all-time low
189715,189878, 'Devil in the details: A coal corridor that cuts across Goa’s green heart,'devil the details: coal corridor that cuts across goa’s green heart
53284,53361, 'Queries of residents to be answered correctly,'queries residents answered correctly
158288,158426, 'U’khand General-OBC union members stage protest against probe on union leader,'u’khand general-obc union members stage protest against probe union leader
116720,116836, 'Once an epicentre of Covid-19 in UP,'once epicentre covid-19
23257,23297, '5 injured in AC blast in Shahjahanpur,injured blast shahjahanpur
152811,152947, 'Scrap 14-day quarantine rule for visitors,'scrap 14-day quarantine rule for visitors
109824,109937, 'Mystery benefactor arranges remdesivir for 25,'mystery benefactor arranges remdesivir for
57675,57757, 'SSH gets nod for liver,'ssh gets nod for liver
49322,49395, 'Madhya Pradesh: Caste factor may play key role in deciding next CM,'madhya pradesh: caste factor may play key role deciding next
52466,52542, '‘Invasive species threaten Chilika Lake’,'‘invasive species threaten chilika lake’
65887,65975, 'Industries in rural areas to begin operations from April 20,'industries rural areas begin operations from april
220867,221055, 'Telangana HC stays proceedings,'telangana stays proceedings
208303,208480, 'Food lovers’ group serves as lifeline,'food lovers’ group serves lifeline
16532,16567," ""Ekta Kapoor wishes son Ravie on his first birthday; shares 'being a mother was not easy'""","""ekta kapoor wishes son ravie his first birthday; shares 'being mother was not easy'"""
50039,50113, 'Pvt school conducts special class,'pvt school conducts special class
99910,100017, 21% were above 75 years in West Bengal,21% were above years west bengal
122017,122135, 'There are many who are ready to join us: BJP chief Poonia,'there are many who are ready join us: bjp chief poonia
51521,51596, 'Computer engineer raped by software firm owner,'computer engineer raped software firm owner
1361,1366, 'Ryots staring at fresh crop losses due to unseasonal rain,'ryots staring fresh crop losses due unseasonal rain
210770,210949, 'Pune: Truck fire hits bypass traffic for 45 minutes,'pune: truck fire hits bypass traffic for minutes
11809,11836, 'Uttar Pradesh: 14-year-old girl raped,'uttar pradesh: 14-year-old girl raped
203505,203677, 'North under grip of winter,'north under grip winter
20013,20051, 'Harappan sites get budget boost,'harappan sites get budget boost
177134,177287, '100 years ago,'100 years ago
213743,213925, 'Short film on Paika rebellion wins international award,'short film paika rebellion wins international award
154473,154609, 'Tamil Nadu: Homebuyers entitled to full refund for delays,'tamil nadu: homebuyers entitled full refund for delays
110731,110845, 'Gujarat: 2,'gujarat:
212254,212434, aur zindagi ne mujhe jawaan hi rakha hai,aur zindagi mujhe jawaan rakha hai
206878,207054, 'West Bengal: No on-campus university class now,'west bengal: on-campus university class now
50902,50977, China reports first local case,china reports first local case
167164,167310,250-bed super-specialty cancer hospital in Lucknow,250-bed super-specialty cancer hospital lucknow
140481,140606, 'Electoral rolls,'electoral rolls
147361,147491,136 cases reported in Punjab,136 cases reported punjab
79928,80023, 'Parvati Nagar deceased likely visited Mominpura,'parvati nagar deceased likely visited mominpura
73090,73181, no streetside feasting this Ramzan,streetside feasting this ramzan
55200,55282, 'Traders to felicitate those who set up veg gardens,'traders felicitate those who set veg gardens
63055,63142, '‘Act against shops for not following safety norms’,'‘act against shops for not following safety norms’
82386,82481, 'Lockdown impact? Dogs in Nainital catching fish from Naini lake,'lockdown impact? dogs nainital catching fish from naini lake
76950,77043, 'Migrants can finally go home,'migrants can finally home
200977,201149, rescued today,rescued today
198777,198947, 'Sara Arjun all geared to essay a bold role in a gangster movie,'sara arjun all geared essay bold role gangster movie
119230,119348, 'Satara village committees empowered to fine violators,'satara village committees empowered fine violators
65723,65810, 'Man who died on Monday in Akola tests positive,'man who died monday akola tests positive
106374,106486, '23 test +ve in DK dist,'23 test +ve dist
118375,118493, Telangana to conduct rapid antigen tests,telangana conduct rapid antigen tests
189632,189795, 'Bermo candidates’ kin hit streets to seek votes,'bermo candidates’ kin hit streets seek votes
219973,220161, 'Greater Chennai Corporation projects to leave a greener trail,'greater chennai corporation projects leave greener trail
8591,8616, says Court,says court
100944,101051, Centre on teachers’ plea against salary reduction,centre teachers’ plea against salary reduction
171062,171210, 'Delhi: Crooks take remote control of phones to cheat scores,'delhi: crooks take remote control phones cheat scores
183385,183546, 'Goa’s Covid-19 cases drop to 3,'goa’s covid-19 cases drop
173462,173611, 'Malls focus on digital ways to ensure patrons’ safety,'malls focus digital ways ensure patrons’ safety
99441,99548, 'DMHO warns those posting fake news,'dmho warns those posting fake news
49078,49151, 'Coronavirus outbreak: Stranded Indians in Kuala Lumpur grow more desperate,'coronavirus outbreak: stranded indians kuala lumpur grow more desperate
623,627, 'Hospitalisation is 6 times more expensive in private sector: Study,'hospitalisation times more expensive private sector: study
15272,15304, 'Commando force formed to handle forest fire in TN,'commando force formed handle forest fire
64060,64147, '‘A healthy attitude will decide your healthitude’,'‘a healthy attitude will decide your healthitude’
84022,84118, total count at 749 now,total count 749 now
71624,71714, 'Two docs among four test +ve in Aligarh,'two docs among four test +ve aligarh
44493,44561, '2 construction labourers killed in wall collapse,construction labourers killed wall collapse
95901,96006, 'Kolkata: Response lukewarm,'kolkata: response lukewarm
146648,146776, 'Haryana: Armed robbery at financier’s house ends in suicide by robber,'haryana: armed robbery financier’s house ends suicide robber
37033,37094, call NMC,call nmc
138564,138687, 'Sewage treatment plant inaugurated in Cantt area,'sewage treatment plant inaugurated cantt area
213988,214170, 'Speed up power sub-stations work,'speed power sub-stations work
209316,209494, 'Top Karnataka officials reviewing V K Sasikala plea,'top karnataka officials reviewing sasikala plea
28068,28116, 'Multiple failures,'multiple failures
119762,119880, 'Probe illegal mining,'probe illegal mining
105422,105533, 'Agri univ,'agri univ
115788,115904, 'Won’t allow reopening of hotels: Cabbies,'won’t allow reopening hotels: cabbies
86496,86596, 'Lockdown effect: Eid celebrations to be different this time in Bihar,'lockdown effect: eid celebrations different this time bihar
37531,37592, 'Bengaluru: Man kills porcupine,'bengaluru: man kills porcupine
110149,110262, 'Main market in Pimpri shut after rules violation,'main market pimpri shut after rules violation
174660,174810, '2 more held in CPM leader’s murder,more held cpm leader’s murder
16814,16850, '336 marshals to regulate traffic at 28 chowks,'336 marshals regulate traffic chowks
168418,168564, 'More home-isolated patients getting cured than those in health facilities,'more home-isolated patients getting cured than those health facilities
115253,115369, 'Constables with 5 years on the job to handle probes,'constables with years the job handle probes
211281,211460, 'Probe ordered into ‘PFI posters’ found in Katihar,'probe ordered into ‘pfi posters’ found katihar
219758,219946,468 fatalities,468 fatalities
215366,215549, 'Farm stubble to biochar — to boost crop yield,'farm stubble biochar boost crop yield
179686,179839, 'Notorious contract killer arrested after encounter in Delhi,'notorious contract killer arrested after encounter delhi
171657,171805, demands Delhi CM,demands delhi
139462,139586," ""Sanjay Dutt diagnosed with lung cancer; fans pray for a speedy recovery of the original 'Baba' of Bollywood""","""sanjay dutt diagnosed with lung cancer; fans pray for speedy recovery the original 'baba' bollywood"""
110113,110226, '20mm rain in 2 hours: City flooded,'20mm rain hours: city flooded
14345,14377, 'Centre unaware of number of enemy properties in Bhopal,'centre unaware number enemy properties bhopal
65889,65977, 'Tamil Nadu: Woman seen off by labour minister tests positive,'tamil nadu: woman seen off labour minister tests positive
150723,150856, Rajgir may get Ganga water by June next: Nitish Kumar,rajgir may get ganga water june next: nitish kumar
206565,206740, 'Hyderabad: Akbaruddin Owaisi,'hyderabad: akbaruddin owaisi
2717,2725, 'Sunny Leone,'sunny leone
101244,101351,927 takes count beyond 36,927 takes count beyond
137473,137595, 'Peon drowns at flooded south Mumbai road on way home,'peon drowns flooded south mumbai road way home
427,431, internet provider’s office gutted,internet provider’s office gutted
25571,25617, 'Finance company director held for cheating investor,'finance company director held for cheating investor
46757,46828, 'Flouting SCB rules,'flouting scb rules
166036,166179, 'Major shuffle in Gujarat I-T dept,'major shuffle gujarat i-t dept
26416,26462, 'AAP set to contest assembly polls in Bihar for first time,'aap set contest assembly polls bihar for first time
200743,200914, TRS will win 10 seats in Old City: KT Rama Rao,trs will win seats old city: rama rao
56879,56961, paying caregivers worries seniors,paying caregivers worries seniors
181480,181633, 'Nashik municipal corporation to spend Rs 33 crore to repair potholes,'nashik municipal corporation spend crore repair potholes
197959,198128, 'Sanjay Dutt and Mohanlal celebrate Diwali together in Dubai,'sanjay dutt and mohanlal celebrate diwali together dubai
7255,7277, 'Matchmaker held for fraud in Rajkot,'matchmaker held for fraud rajkot
136335,136457, 'Madurai sees 106 cases,'madurai sees 106 cases
41085,41152, 'Not paid since Jan,'not paid since jan
14199,14231, 'Sikh neta in Pak flees country after threats,'sikh neta pak flees country after threats
106121,106232, 'FAKE ALERT: Amit Malviya shares 2017 photo from Delhi to claim Gandhi family visited China in 2008,'fake alert: amit malviya shares 2017 photo from delhi claim gandhi family visited china 2008
73014,73105, 'Bengaluru: He keeps hospital ward housing infected patients spick and span,'bengaluru: keeps hospital ward housing infected patients spick and span
80291,80386, 'Councillor’s brother seen demanding ‘cash for tickets’,'councillor’s brother seen demanding ‘cash for tickets’
40037,40103, 'Forest dept rescues femaleleopard from Gandhinagar,'forest dept rescues femaleleopard from gandhinagar
37997,38058, 'Kozhikode: MLA Saseendran appointed as temporary head of NH-766 panel,'kozhikode: mla saseendran appointed temporary head nh-766 panel
126823,126942, Palluruthy to become FLCTC,palluruthy become flctc
115034,115150, 'Farmers’ leader dies of Covid,'farmers’ leader dies covid
71539,71629, 'Music,'music
158332,158470, 'Rajasthan continues plasma therapy claiming its beneficial for Covid patients,'rajasthan continues plasma therapy claiming its beneficial for covid patients
111904,112020, 'Housing society demands fit certificate from new tenants,'housing society demands fit certificate from new tenants
93904,94008, 'Hundreds of spray tankers ready to take on locusts in sugar belt,'hundreds spray tankers ready take locusts sugar belt
200785,200956, Jagan &amp; Naveen ATM supporters’,jagan naveen atm supporters’
7576,7598, 'Maradu flats demolition: Perfect,'maradu flats demolition: perfect
146176,146304, WFH Pain In The Neck,wfh pain the neck
105260,105370, '‘Body shaming’: Labelled as ‘transgender’ by friends,'‘body shaming’: labelled ‘transgender’ friends
45267,45335, 'Airport operators seek to levy ‘corona surcharge’,'airport operators seek levy ‘corona surcharge’
123516,123634, stabs man to death in Gandhinagar,stabs man death gandhinagar
110096,110209, 'Covid-19: 51% new cases from Ahmedabad’s west,'covid-19: 51% new cases from ahmedabad’s west
37796,37857, 'Araku festival begins: Bonda dance,'araku festival begins: bonda dance
50973,51048, trying to rape third one,trying rape third one
44143,44211, 3 die,die
77733,77828, 'SGPDA fish,'sgpda fish
158705,158844, 'PM persuaded people to fight pandemic: Shah,'pm persuaded people fight pandemic: shah
42358,42426, 'Lookout for groups who pelted 3 autos with stones,'lookout for groups who pelted autos with stones
173311,173460, 'JEE-Advanced exam: Rajasthan boy battles brain disease to secure 35th rank,'jee-advanced exam: rajasthan boy battles brain disease secure 35th rank
41531,41599, 'More dangerous stinking stagmant water than Corona,'more dangerous stinking stagmant water than corona
113788,113904, 'AI proposes Rajkot-Delhi flight soon,'ai proposes rajkot-delhi flight soon
8037,8060," ""Refrigerator sold for Rs 200","""refrigerator sold for 200"
35168,35227, '‘Trump visit gave global impression and showed personal relations of India with Us’,'‘trump visit gave global impression and showed personal relations india with us’
223031,223221, 'How Covid forced a paradigm shift in education sector,'how covid forced paradigm shift education sector
170935,171083, 'Farmer kills wife for beating their 10-yr-old daughter,'farmer kills wife for beating their 10-yr-old daughter
198803,198973, 'MGB mocks decision to appoint two Bihar deputy CMs,'mgb mocks decision appoint two bihar deputy cms
5376,5395, DAC,dac
173333,173482, not Naugarh,not naugarh
62440,62526, 'Port Vizag breathes clean again as lockdown keeps vehicles off roads,'port vizag breathes clean again lockdown keeps vehicles off roads
102831,102941, '16-year-old falls from balcony,'16-year-old falls from balcony
199178,199348, 'Unauthorised structures in Visakhapatnam under civic body lens,'unauthorised structures visakhapatnam under civic body lens
23993,24034, 'Will Vani Bhojan play Atharvaa’s love interest?,'will vani bhojan play atharvaa’s love interest?
173751,173900, my height is my biggest strength,height biggest strength
121939,122057, 'BJP demands Ashok Gehlot take floor test,'bjp demands ashok gehlot take floor test
25099,25143, 'Cops book man linked to UP’s Shaheen Bagh,'cops book man linked up’s shaheen bagh
80716,80811, 'Saluting front-line warrior moms on Mother’s Day,'saluting front-line warrior moms mother’s day
69083,69171, 'For industries resuming work,'for industries resuming work
170299,170447, O Panneerselvam may be losing base to Edappadi K Palaniswami,panneerselvam may losing base edappadi palaniswami
158955,159094, 'Cops bust illegal arms making units in Bijnor,'cops bust illegal arms making units bijnor
178175,178328, 'Citing pandemic,'citing pandemic
209240,209418, 'Parents complain to JNTUH against MGIT,'parents complain jntuh against mgit
221410,221598, New Year’s Eve mass timings,new year’s eve mass timings
147974,148105, 31 micro-containment zones declared,micro-containment zones declared
142891,143018, 'Bengaluru man dupes Pune-based person of Rs 5 lakh,'bengaluru man dupes pune-based person lakh
126289,126408, '20-year-old stalker electrocutes self after assaulting girl in Tiruvannamalai district,'20-year-old stalker electrocutes self after assaulting girl tiruvannamalai district
10884,10910, '392 schools pulled up for not providing internal marks for UP board exams,'392 schools pulled for not providing internal marks for board exams
219796,219984, 'Gurugram: Samples of trash sent to Bandhwari to be tested,'gurugram: samples trash sent bandhwari tested
7859,7882, 'Punjab: CCTVs at Chhatbir Zoo for better animals care,'punjab: cctvs chhatbir zoo for better animals care
8532,8557, 'Met forecasts light showers,'met forecasts light showers
58273,58355, emotional abuse on rise in Lucknow,emotional abuse rise lucknow
113096,113212, 'Four of a family test corona positive,'four family test corona positive
184993,185154, 'Hyderabad: 150 flood-hit colonies face drinking water crisis,'hyderabad: 150 flood-hit colonies face drinking water crisis
16478,16513, 'CTET 2020 July exam paper pattern and preparation tips,'ctet 2020 july exam paper pattern and preparation tips
55315,55397, 'Drone helps cops in fight against corona; 69 held,'drone helps cops fight against corona; held
53678,53756, 'No decision on transit trucks yet in Maharashtra,'no decision transit trucks yet maharashtra
106045,106156, Chinese goods burnt,chinese goods burnt
45559,45627, 'Improve infra in govt schools: Teachers,'improve infra govt schools: teachers
149627,149759, 'North Delhi Municipal Corporation orders vigilance probe into allegations of corruption,'north delhi municipal corporation orders vigilance probe into allegations corruption
152766,152902, 'Patrons back as bars reopen after more than 5 months in Kolkata,'patrons back bars reopen after more than months kolkata
122071,122189, '4 cops die in 72 hours as state toll in force touches 81,cops die hours state toll force touches
34919,34977, 'Throwback Thursday! Abhishek Bachchan takes Aishwarya Rai Bachchan on stage to groove with him; watch video,'throwback thursday! abhishek bachchan takes aishwarya rai bachchan stage groove with him; watch video
91390,91492, health workers mark muted Eid,health workers mark muted eid
215750,215935, 'Farmers to lay siege to Raj Bhavan,'farmers lay siege raj bhavan
177635,177788, 'After 33 years,'after years
91600,91702, they can become tomorrow’s shopkeepers,they can become tomorrow’s shopkeepers
159560,159700, 'Faceless assessment will promote voluntary compliance: P C Mody,'faceless assessment will promote voluntary compliance: mody
62182,62268,000 cash relief for priests,000 cash relief for priests
37946,38007, demand Assam professor’s release,demand assam professor’s release
162265,162406, 'Delhi: ‘Can’t impose 40kmph if MV Act says 80kmph’,'delhi: ‘can’t impose 40kmph act says 80kmph’
170622,170770, 'A day before retirement,day before retirement
58443,58525, 'Devout offer Friday prayers from home,'devout offer friday prayers from home
110009,110122, '22 macaws being smuggled to Bengaluru rescued at Kolkata airport; duo held,'22 macaws being smuggled bengaluru rescued kolkata airport; duo held
182748,182906, stone crushers,stone crushers
177855,178008, 'IIM-N new director aims to take it among India’s top 10 B-schools,'iim-n new director aims take among india’s top b-schools
76072,76165, says will go home ‘once coronavirus war is over’,says will home ‘once coronavirus war over’
166092,166235, but stayed low key’,but stayed low key’
141790,141917, 'Can city become more bikeable? Corporation wants to know,'can city become more bikeable? corporation wants know
128981,129100, 'Police checkpost to be set up at NMCH,'police checkpost set nmch
57221,57303, with one simple message,with one simple message
143539,143666, 'CCTV footage helps Pune cops crack Rs 8 lakh theft case,'cctv footage helps pune cops crack lakh theft case
167521,167667, 'E-exhibition on rock art a bridge between past &amp; present,'e-exhibition rock art bridge between past present
107193,107305, 'HC to Maharashtra govt: Frame policy for street vendors,'hc maharashtra govt: frame policy for street vendors
147288,147418," ""Haryana's Covid toll past 600","""haryana's covid toll past 600"
150582,150715, 'Each Bihar BJP MP to visit 60 panchayats,'each bihar bjp visit panchayats
117624,117740, 'Farmers in Dungarpur earn Rs 25.38L by growing veggies,'farmers dungarpur earn 25.38l growing veggies
159803,159943,349,349
161376,161517, govt tells RS,govt tells
75867,75960, 'Narasaraopet municipal commissioner shifted,'narasaraopet municipal commissioner shifted
46080,46149, 'Gujarat: Five Dahod cops attacked during raid on bootlegger,'gujarat: five dahod cops attacked during raid bootlegger
82579,82674, 'Civic body sends migrant broom-makers to transit home,'civic body sends migrant broom-makers transit home
167832,167978, 'Agriculture minister on Marathwada region tour,'agriculture minister marathwada region tour
57440,57522, say social organizations &amp; NGOs,say social organizations ngos
134587,134709, RSS extend invitations to Akal Takht jathedar,rss extend invitations akal takht jathedar
60236,60319, 'In 12 days,'in days
35062,35120, 'Technopark stretch hot favourite for day-night zone,'technopark stretch hot favourite for day-night zone
208751,208928," ""Meet some of Mumbai's vaccine volunteers""","""meet some mumbai's vaccine volunteers"""
54686,54765, 'Birthdays turn austere,'birthdays turn austere
112876,112992, 'Russian army museum showcases bravery of soldier from Pithoragarh during WWII,'russian army museum showcases bravery soldier from pithoragarh during wwii
166580,166724, '400 girl students have never been to school: Survey,'400 girl students have never been school: survey
155794,155931, 'Barber strangles wife to death over dowry,'barber strangles wife death over dowry
174319,174468, 'Mumbai: Cox &amp; Kings Group CFO and internal auditor held by ED,'mumbai: cox kings group cfo and internal auditor held
63726,63813, 'Hydroxychloroquine not the magic drug you are waiting for?,'hydroxychloroquine not the magic drug you are waiting for?
63224,63311, 'Uttam demands pay for sanitation staff,'uttam demands pay for sanitation staff
5153,5171,000 CRZ violations identified in 10 coastal districts,000 crz violations identified coastal districts
12663,12693,000 in Nawabganj area,000 nawabganj area
74971,75064, 'Restrain police from seizing vehicles during lockdown: AIMIM to HC,'restrain police from seizing vehicles during lockdown: aimim
65127,65214, '12-hour workday in Rajasthan factories,'12-hour workday rajasthan factories
66245,66333, 22 during community sampling,during community sampling
23848,23889, NCP set sights on civic panel chief’s post,ncp set sights civic panel chief’s post
174941,175092, 'Why shouldn’t top cops be shunted for failure to regulate traffic: HC,'why shouldn’t top cops shunted for failure regulate traffic:
116132,116248, 'Cyclonic circulation may bring rain in Tapi,'cyclonic circulation may bring rain tapi
123258,123376, 'Kerala: Covid-19 superspreaders put Ernakulam on the edge,'kerala: covid-19 superspreaders put ernakulam the edge
68380,68468, road building projects on fast-track,road building projects fast-track
43843,43911, BJP cancels it,bjp cancels
75187,75280, 'Kolkata hospitals shifting ICUs near isolation wards to avert risk,'kolkata hospitals shifting icus near isolation wards avert risk
201217,201389, 'State Cov toll at 937,'state cov toll 937
183751,183912, Nadeem Colony residents rue the delay,nadeem colony residents rue the delay
53606,53684, 'Arjun Kapoor on Coronavirus outbreak: Let’s hope we learn to value the simpler things in life once all this is over,'arjun kapoor coronavirus outbreak: let’s hope learn value the simpler things life once all this over
148593,148724, 'Robot to check patients’ vitals at Pune railway hospital soon,'robot check patients’ vitals pune railway hospital soon
170799,170947, repeated rapes doubled in 2019: NCRB,repeated rapes doubled 2019: ncrb
129537,129657, PM’s tough talk on ‘dusht’ Pakistan a hint to China?,pm’s tough talk ‘dusht’ pakistan hint china?
155926,156063, 'Dhanbad hosp shut for 17 yrs piques interests of investors,'dhanbad hosp shut for yrs piques interests investors
209778,209957, 'Slow winds to worsen Delhi air quality further,'slow winds worsen delhi air quality further
154283,154419, say chest physicians,say chest physicians
216057,216242, 'Delhi CM Arvind Kejriwal fasts today in support of farmers,'delhi arvind kejriwal fasts today support farmers
49411,49484, 'Covid effect: Govt postpones house site distribution to April 14,'covid effect: govt postpones house site distribution april
19059,19097, 'Thousands form human chain to oppose CAA,'thousands form human chain oppose caa
110493,110607, 'No express,'no express
85625,85722, 'Drinking water crisis in Indi taluk in Vijayapura,'drinking water crisis indi taluk vijayapura
169321,169469, 'One held on charge of robbing and murdering car driver,'one held charge robbing and murdering car driver
41735,41803, 'In 10 yrs,'in yrs
37956,38017, 'Non-bailable charges against three for ‘Goli maaro’ chant,'non-bailable charges against three for ‘goli maaro’ chant
26602,26648, 'India opens 9 more embassies in Africa,'india opens more embassies africa
118869,118987, 'Girls outshine boys in RBSE class XII science exam,'girls outshine boys rbse class xii science exam
146250,146378, 'Sero survey concludes in Bihar,'sero survey concludes bihar
109746,109859, 'Aurangabad reports another 163 Covid cases,'aurangabad reports another 163 covid cases
189954,190117, 'Chennai: Flights to carry 1,'chennai: flights carry
35031,35089, 'Water board team in Delhi for NRCD meet,'water board team delhi for nrcd meet
36397,36458, 'Play ‘Up Down’ captures woman’s life on local train,'play ‘up down’ captures woman’s life local train
29514,29565, 'Coronavirus vaccine in the works,'coronavirus vaccine the works
16214,16248, 'Nobody can break Bharat,'nobody can break bharat
42515,42583, seeks quashing of FIR against him,seeks quashing fir against him
113626,113742, 12k deaths in June,12k deaths june
141199,141324, 'Stakeholders cry foul over govt’s move mandating adoption of schools by MLAs,'stakeholders cry foul over govt’s move mandating adoption schools mlas
199642,199813, 'Farmer groups to decide today on passenger trains,'farmer groups decide today passenger trains
127762,127881, 'Rander reports 47 cases in a day,'rander reports cases day
10691,10716, 'City shivers with state’s lowest temperature of 6C,'city shivers with state’s lowest temperature
161993,162134, 'TN supplementary exam 2020: Preparations under way for conducting tests for private candidates,'tn supplementary exam 2020: preparations under way for conducting tests for private candidates
51223,51298, home delivery,home delivery
137618,137741, 'Gautham Menon lets the actor do his job,'gautham menon lets the actor his job
165206,165349, 'Tejas questions ‘haste’ in passing farm Bills,'tejas questions ‘haste’ passing farm bills
148147,148278, 'Iranian arrested for fraud tests positive,'iranian arrested for fraud tests positive
129662,129782, 'TRS MLA’s PA lands behind bars for attacking woman doctor at MGM Warangal,'trs mla’s lands behind bars for attacking woman doctor mgm warangal
23252,23292, 'Nirma Group pays Rs 213 crore for AMC plot,'nirma group pays 213 crore for amc plot
215590,215774, 'Esha Gupta abides by this black-and-white motto,'esha gupta abides this black-and-white motto
6469,6488, 'MVA cuts a wide swathe in bypolls of two civic wards,'mva cuts wide swathe bypolls two civic wards
8200,8223, 'Shahjahanpur: Tanker turns turtle,'shahjahanpur: tanker turns turtle
44884,44952, says Avanthi,says avanthi
10320,10345, 'Safety audit of 45 major bridges in final phase: PWD,'safety audit major bridges final phase: pwd
138804,138927, 'Cutting power losses? Give report: Chandigarh administration,'cutting power losses? give report: chandigarh administration
4420,4436, 'Abir and Sohini reunite for Pavel’s family drama,'abir and sohini reunite for pavel’s family drama
48621,48694, 'Telangana: Woman,'telangana: woman
47907,47980, 'Coronavirus outbreak: Diamond workers’ body demands one month paid vacation in Surat,'coronavirus outbreak: diamond workers’ body demands one month paid vacation surat
84049,84145, '‘Allow online submission of movies’,'‘allow online submission movies’
114943,115059, 'Illegal hospital running for 10 years sealed,'illegal hospital running for years sealed
10133,10158, 'In new VC RR Tewari’s first decision,'in new tewari’s first decision
59371,59454, 'Four Delhi-returned men test positive in Buldhana,'four delhi-returned men test positive buldhana
126419,126538, driver in ACB net,driver acb net
123646,123764, '15 test Covid +ve in Agra,'15 test covid +ve agra
16943,16979, 'Vadodara: Mother of five girls kills sixth daughter,'vadodara: mother five girls kills sixth daughter
73681,73772, yet Ernakulam on high vigil,yet ernakulam high vigil
117294,117410, 172 Indians set to return,172 indians set return
34468,34526, 'Revamp of Monda Market delayed as vendors protest against eviction notices,'revamp monda market delayed vendors protest against eviction notices
95133,95237, coastal regulator tells WRD,coastal regulator tells wrd
56810,56892, Raveena Tandon trie TikTok,raveena tandon trie tiktok
14508,14540, 'Tamil Nadu: Man arrested for sexually assaulting,'tamil nadu: man arrested for sexually assaulting
51177,51252, 'Shut OPDs worry non-coronavirus patients,'shut opds worry non-coronavirus patients
178230,178383, airport hits Covid season peak before Puja,airport hits covid season peak before puja
4424,4440, 'Tyre industry to train 5L mechanics under government skilling scheme,'tyre industry train mechanics under government skilling scheme
151994,152130,300 teachers teachers get training on physical literacy,300 teachers teachers get training physical literacy
198577,198747, 'Benaulim locals threaten to intensify agitation for western bypass on stilts,'benaulim locals threaten intensify agitation for western bypass stilts
49311,49384, 'Fire breaks out in Unnao plastic unit,'fire breaks out unnao plastic unit
206699,206874, 'Bengal govt’s ‘Duare Sarkar’ rolls out on Tue,'bengal govt’s ‘duare sarkar’ rolls out tue
138039,138162, 23 deaths in Gujarat,deaths gujarat
22674,22714, 'For second time,'for second time
181538,181691, 'Goa sees lowest daily Covid count after 1.5 months,'goa sees lowest daily covid count after 1.5 months
125090,125209, 'Odisha excludes biometric Aadhaar verification from PDS,'odisha excludes biometric aadhaar verification from pds
192547,192712, 'Rape cases in Rajasthan down 16% in 9 months this year compared to 2019,'rape cases rajasthan down 16% months this year compared 2019
153828,153964, Kolhapur district opts for screening,kolhapur district opts for screening
165203,165346, 'Faruque Ali takes charge as Jai Prakash University VC,'faruque ali takes charge jai prakash university
8721,8746, 'Arjun’s arrows had N-power,'arjun’s arrows had n-power
157315,157452, 'Communication is key,'communication key
191526,191690,#TheatreLove: I embarrassed my parents while watching Thenali,#theatrelove: embarrassed parents while watching thenali
221739,221928, 2022: Minister,2022: minister
162971,163113, 'Tollygunge complex,'tollygunge complex
205338,205512, 'Bombay HC protection for 28 private hospitals on Covid rates,'bombay protection for private hospitals covid rates
182406,182562, 'Death penalty sought for rapist,'death penalty sought for rapist
